experiment_file,game_id,run_id,model_name,gamemaster_model,agent_type,question,turn,answer,eig,game_outcome,total_turns,game_duration,timestamp,target_character
game_openai_gpt-4o_EIG_18_20250923_223424_612.json,18,18,openai/gpt-4o,openai/gpt-5,EIG,Does the character have blue eyes?,1,yes,0.5243462185987724,1.0,9,1483.2107570171356,2025-09-23T22:34:24.612669,James
game_openai_gpt-4o_EIG_18_20250923_223424_612.json,18,18,openai/gpt-4o,openai/gpt-5,EIG,Is the character male?,2,yes,0.5091922545990583,1.0,9,1483.2107570171356,2025-09-23T22:34:24.612669,James
game_openai_gpt-4o_EIG_18_20250923_223424_612.json,18,18,openai/gpt-4o,openai/gpt-5,EIG,Is the character’s clothing style formal?,3,yes,,1.0,9,1483.2107570171356,2025-09-23T22:34:24.612669,James
game_openai_gpt-4o_EIG_18_20250923_223424_612.json,18,18,openai/gpt-4o,openai/gpt-5,EIG,Is the character elderly?,4,yes,0.5036066995941483,1.0,9,1483.2107570171356,2025-09-23T22:34:24.612669,James
game_openai_gpt-4o_EIG_18_20250923_223424_612.json,18,18,openai/gpt-4o,openai/gpt-5,EIG,Does the character have a neutral smile?,5,no,0.5230400022940326,1.0,9,1483.2107570171356,2025-09-23T22:34:24.612669,James
game_openai_gpt-4o_EIG_18_20250923_223424_612.json,18,18,openai/gpt-4o,openai/gpt-5,EIG,Is the character's nose shape broad?,6,no,0.5286725632807601,1.0,9,1483.2107570171356,2025-09-23T22:34:24.612669,James
game_openai_gpt-4o_EIG_18_20250923_223424_612.json,18,18,openai/gpt-4o,openai/gpt-5,EIG,Does the character have a beard?,7,no,0.5294807597808623,1.0,9,1483.2107570171356,2025-09-23T22:34:24.612669,James
game_openai_gpt-4o_EIG_18_20250923_223424_612.json,18,18,openai/gpt-4o,openai/gpt-5,EIG,Does the character have fair complexion?,8,yes,0.5270901723206846,1.0,9,1483.2107570171356,2025-09-23T22:34:24.612669,James
game_openai_gpt-4o_QBayes_7_20250924_135132_314.json,67,7,openai/gpt-4o,openai/gpt-5,QBayes,Does the character have blue eyes?,1,yes,0.5243462185987724,1.0,10,1569.9452872276306,2025-09-24T13:51:32.314399,Owen
game_openai_gpt-4o_QBayes_7_20250924_135132_314.json,67,7,openai/gpt-4o,openai/gpt-5,QBayes,Is the character's clothing style formal?,2,yes,0.5244051002860526,1.0,10,1569.9452872276306,2025-09-24T13:51:32.314399,Owen
game_openai_gpt-4o_QBayes_7_20250924_135132_314.json,67,7,openai/gpt-4o,openai/gpt-5,QBayes,Is the character elderly?,3,yes,0.530861193521382,1.0,10,1569.9452872276306,2025-09-24T13:51:32.314399,Owen
game_openai_gpt-4o_QBayes_7_20250924_135132_314.json,67,7,openai/gpt-4o,openai/gpt-5,QBayes,Does the character wear glasses?,4,no,0.5303476848126231,1.0,10,1569.9452872276306,2025-09-24T13:51:32.314399,Owen
game_openai_gpt-4o_QBayes_7_20250924_135132_314.json,67,7,openai/gpt-4o,openai/gpt-5,QBayes,Is the character wearing a bowler hat?,5,yes,0.5309467551694471,1.0,10,1569.9452872276306,2025-09-24T13:51:32.314399,Owen
